"","china_platform","first_salvo"
"1",""""",""china_platform"",""us_platform"",""china_staying_power"",""us_staying_power"",""china_defense"",""us_defense"",""china_offense"",""us_offense"",""first_salvo"",""china_scouting"",""us_scouting"",""china_ready"",""us_ready""","us"
"2","""1"",4,9,1,1,3,1,2,2,""us"",0.66,0.75,0.02,0.56","us"
"3","""2"",16,4,2,1,2,1,2,2,""us"",0.33,0.42,0.78,0.23","us"
"4","""3"",12,9,1,1,1,2,1,2,""us"",0.66,0.57,0.57,0.28","us"
"5","""4"",15,1,2,1,2,1,1,2,""china"",0.24,0.81,0.85,0.3","us"
"6","""5"",24,10,1,1,2,2,2,2,""china"",0.08,0.23,0.71,0.28","us"
"7","""6"",30,4,2,1,2,2,1,2,""china"",0.23,0.08,0.65,0.84","us"
"8","""7"",27,5,1,1,2,2,2,2,""china"",0.33,0.92,0.38,0.97","us"
"9","""8"",15,10,1,1,2,2,2,2,""china"",0.4,0.08,0.27,0.57","us"
"10","""9"",6,3,2,1,3,2,2,2,""china"",0.15,0.98,0.48,0.79","us"
"11","""10"",14,3,2,1,2,2,1,2,""china"",0.45,0.87,0.1,0.08","us"
"12","""11"",4,1,1,1,2,3,1,2,""us"",0.82,0.97,0.72,0.16","us"
"13","""12"",17,9,1,1,2,1,1,2,""us"",0.62,0.78,0.62,0.16","us"
"14","""13"",14,4,2,1,3,1,2,2,""us"",0.97,0.57,0.32,0.24","us"
"15","""14"",27,4,1,1,1,2,1,2,""china"",0.61,0.82,0.64,0.96","us"
"16","""15"",25,7,2,1,2,1,2,2,""china"",0.3,0.83,0.98,0.91","us"
"17","""16"",24,10,2,1,2,3,2,2,""china"",0.34,0.04,0.09,0.5","us"
"18","""17"",27,5,1,1,2,2,1,2,""china"",0.24,0.54,0.48,0.94","us"
"19","""18"",11,7,2,1,2,3,2,2,""us"",0.85,0.43,0.25,0.41","us"
"20","""19"",7,8,2,1,1,3,1,2,""us"",0.14,0.14,0.79,0.41","us"
"21","""20"",2,3,1,1,1,2,2,2,""us"",0.27,0.78,0.1,0.12","us"
"22","""21"",20,10,2,1,1,2,1,2,""us"",0.52,0.92,0.45,0.06","us"
