"","china_platform","us_platform","china_staying_power","us_staying_power","china_defense","us_defense","china_offense","us_offense","first_salvo","china_scouting","us_scouting","china_ready","us_ready","outcome_china","outcome_us","iter"
"1",4,9,1,1,3,1,2,2,"us",0.66,0.75,0.02,0.56,"-0.9104","3.51552","2"
"2",16,4,2,1,2,1,2,2,"us",0.33,0.42,0.78,0.23,"27.64","-15.7824","1"
"3",12,9,1,1,1,2,1,2,"us",0.66,0.57,0.57,0.28,"16.56","-7.8096","1"
"4",15,1,2,1,2,1,1,2,"china",0.24,0.81,0.85,0.3,"28.56","-1","1"
"5",24,10,1,1,2,2,2,2,"china",0.08,0.23,0.71,0.28,"58.4112","-0.72","1"
"6",30,4,2,1,2,2,1,2,"china",0.23,0.08,0.65,0.84,"49.6232","-1.54","1"
"7",27,5,1,1,2,2,2,2,"china",0.33,0.92,0.38,0.97,"69.4896","-11.94","1"
"8",15,10,1,1,2,2,2,2,"china",0.4,0.08,0.27,0.57,"24.3352","-7.72","1"
"9",6,3,2,1,3,2,2,2,"china",0.15,0.98,0.48,0.79,"-5.19400558080001","15.22924416","3"
"10",14,3,2,1,2,2,1,2,"china",0.45,0.87,0.1,0.08,"18.8626","-3.98","1"
"11",4,1,1,1,2,3,1,2,"us",0.82,0.97,0.72,0.16,"5.88","-1.8616","1"
"12",17,9,1,1,2,1,1,2,"us",0.62,0.78,0.62,0.16,"34.96","-19.3552","1"
"13",14,4,2,1,3,1,2,2,"us",0.97,0.57,0.32,0.24,"19.58","-35.5052","1"
"14",27,4,1,1,1,2,1,2,"china",0.61,0.82,0.64,0.96,"61.7132","-10.63","1"
"15",25,7,2,1,2,1,2,2,"china",0.3,0.83,0.98,0.91,"58.7794","-11.18","1"
"16",24,10,2,1,2,3,2,2,"china",0.34,0.04,0.09,0.5,"26.6128","-11.32","1"
"17",27,5,1,1,2,2,1,2,"china",0.24,0.54,0.48,0.94,"53.6976","-0.72","1"
"18",11,7,2,1,2,3,2,2,"us",0.85,0.43,0.25,0.41,"12.89","-17.453","1"
"19",7,8,2,1,1,3,1,2,"us",0.14,0.14,0.79,0.41,"-0.605453358307926","760.687513262201","9"
"20",2,3,1,1,1,2,2,2,"us",0.27,0.78,0.1,0.12,"-0.92","2.9768","1"
"21",20,10,2,1,1,2,1,2,"us",0.52,0.92,0.45,0.06,"22.66","-9.5432","1"
"22",5,3,1,1,2,2,1,2,"us",0.75,0.7,0.34,0.02,"5.6","-2.12","1"
"23",4,1,2,1,3,2,2,2,"china",0.19,0.28,0.91,0.45,"50.361768227936","-5.9621172512","3"
"24",18,4,2,1,3,1,1,2,"china",0.17,0.05,0.54,1,"59.0672605","-3.65061","2"
